supermarket
pharmacy
bank
post office
doctor
dentist
primary school
secondary school
university
kindergarten
childcare center
library
gym
swimming pool
sports center
cinema
church
mosque
synagogue
temple
police station
veterinary clinic
park
playground
dog park
